,File,Bugged,NumberOfFields,NumberOfPublicFields,NumberOfPublicMethods_Designite,NumberOfChildren,DepthOfInheritance,LOCClass,LCOM,FANIN,FANOUT,TotalNumberOfOperators,NumberOfDistinctOperators,TotalNumberOfOperands,NumberOfDistinctOperands,Length,Vocabulary,Volume,Difficulty,Effort,CBO,WMC_CK,RFC,LOCMethod_CK,Returns,NumberOfVariables,NumberOfParameters_CK,NumberOfLoops,NumberOfComparisons,NumberOfTryCatch,NumberOfParenthesizedExps,NumberOfStringLiterals,NumberOfNumbers,NumberOfAssignments,NumberOfMathOperations,MaxNumberOfNestedBlocks,NumberOfAnonymousClasses,NumberOfInnerClasses,NumberOfLambdas,NumberOfUniqueWords,NumberOfModifiers,NumberOfLogStatements,Project,Version,index
0,/sise/home/machadob/repo_mining/apache_repos/bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/benchbookie.java,False,2.0,0.0,2.0,0.0,0.0,20.0,0.0,1.0,1.0,1137.0,52.0,681.0,203.0,1818.0,255.0,14533.734548209404,87.22167487684729,1267656.6695103236,6.0,3.0,10.0,30.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,10.0,3.0,10.0,2.0,1.0,0.0,0.0,0.0,28.0,21.0,1.0,bookkeeper,release-4.14.2,96
1,/sise/home/machadob/repo_mining/apache_repos/bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/benchreadthroughputlatency.java,False,3.0,0.0,4.0,0.0,0.0,210.0,0.0,2.0,6.0,1193.0,53.0,664.0,232.0,1857.0,285.0,15143.49722850976,75.84482758620689,1148555.9363485246,2.0,4.0,5.0,22.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,12.0,5.0,1.0,bookkeeper,release-4.14.2,96
2,/sise/home/machadob/repo_mining/apache_repos/bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/benchthroughputlatency.java,False,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2183.0,53.0,1212.0,355.0,3395.0,408.0,29442.884035993226,90.47323943661972,2663793.0970930434,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,bookkeeper,release-4.14.2,96
3,/sise/home/machadob/repo_mining/apache_repos/bookkeeper/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/testclient.java,False,7.0,0.0,2.0,0.0,0.0,55.0,0.0,0.0,2.0,1446.0,53.0,866.0,252.0,2312.0,305.0,19080.162479824976,91.06746031746032,1737581.9394821562,3.0,8.0,15.0,47.0,1.0,11.0,1.0,2.0,0.0,1.0,1.0,17.0,6.0,11.0,4.0,2.0,0.0,0.0,0.0,46.0,3.0,3.0,bookkeeper,release-4.14.2,96
4,/sise/home/machadob/repo_mining/apache_repos/bookkeeper/bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/testbenchmark.java,False,1.0,0.0,6.0,0.0,0.0,68.0,0.8571428571428571,0.0,6.0,500.0,40.0,248.0,117.0,748.0,157.0,5456.376320170937,42.39316239316239,231313.0474192124,3.0,1.0,5.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,bookkeeper,release-4.14.2,96
5,/sise/home/machadob/repo_mining/apache_repos/bookkeeper/bookkeeper-common-allocator/src/main/java/org/apache/bookkeeper/common/allocator/bytebufallocatorbuilder.java,False,0.0,0.0,0.0,0.0,0.0,43.0,-1.0,4.0,0.0,75.0,16.0,62.0,33.0,137.0,49.0,769.2152486437835,15.030303030303031,11561.53828264596,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,bookkeeper,release-4.14.2,96
6,/sise/home/machadob/repo_mining/apache_repos/bookkeeper/bookkeeper-common-allocator/src/main/java/org/apache/bookkeeper/common/allocator/impl/bytebufallocatorbuilderimpl.java,False,7.0,0.0,8.0,0.0,0.0,43.0,0.0,0.0,0.0,180.0,20.0,127.0,40.0,307.0,60.0,1813.4154128518155,31.75,57575.939358045136,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,bookkeeper,release-4.14.2,96
7,/sise/home/machadob/repo_mining/apache_repos/bookkeeper/bookkeeper-common-allocator/src/main/java/org/apache/bookkeeper/common/allocator/impl/bytebufallocatorimpl.java,False,8.0,0.0,4.0,0.0,0.0,125.0,0.0,0.0,0.0,537.0,41.0,322.0,93.0,859.0,134.0,6069.770614603226,70.97849462365592,430823.18093543977,1.0,2.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,bookkeeper,release-4.14.2,96
8,/sise/home/machadob/repo_mining/apache_repos/bookkeeper/bookkeeper-common-allocator/src/test/java/org/apache/bookkeeper/common/allocator/impl/bytebufallocatorbuildertest.java,False,1.0,0.0,8.0,0.0,0.0,143.0,0.75,0.0,1.0,934.0,25.0,540.0,112.0,1474.0,137.0,10462.499290283817,60.267857142857146,630552.4125840693,3.0,1.0,15.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,bookkeeper,release-4.14.2,96
9,/sise/home/machadob/repo_mining/apache_repos/bookkeeper/bookkeeper-common/src/main/java/org/apache/bookkeeper/common/collections/blockingmpscqueue.java,False,1.0,0.0,2.0,0.0,0.0,13.0,0.0,1.0,0.0,380.0,40.0,172.0,59.0,552.0,99.0,3659.4048542839446,58.30508474576271,213361.91014808085,0.0,2.0,2.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,bookkeeper,release-4.14.2,96
10,/sise/home/machadob/repo_mining/apache_repos/bookkeeper/bookkeeper-common/src/main/java/org/apache/bookkeeper/common/collections/busywait.java,False,1.0,0.0,1.0,0.0,0.0,30.0,0.0,1.0,0.0,117.0,23.0,61.0,38.0,178.0,61.0,1055.6712460861938,18.46052631578948,19488.246819196447,0.0,3.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,9.0,0.0,bookkeeper,release-4.14.2,96
11,/sise/home/machadob/repo_mining/apache_repos/bookkeeper/bookkeeper-common/src/main/java/org/apache/bookkeeper/common/collections/recyclablearraylist.java,False,0.0,0.0,1.0,0.0,0.0,11.0,-1.0,6.0,0.0,157.0,29.0,74.0,30.0,231.0,59.0,1358.8905444025854,35.766666666666666,48602.98513813247,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,bookkeeper,release-4.14.2,96
12,/sise/home/machadob/repo_mining/apache_repos/bookkeeper/bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/abstractcomponent.java,False,2.0,0.0,2.0,1.0,0.0,17.0,0.0,0.0,0.0,56.0,21.0,34.0,15.0,90.0,36.0,465.2932501298081,23.8,11073.979353089431,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,bookkeeper,release-4.14.2,96
13,/sise/home/machadob/repo_mining/apache_repos/bookkeeper/bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/abstractlifecyclecomponent.java,False,5.0,0.0,7.0,0.0,1.0,79.0,0.1666666666666666,0.0,3.0,364.0,37.0,186.0,87.0,550.0,124.0,3824.8079707127818,39.55172413793103,151277.74973819175,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,281.0,0.0,bookkeeper,release-4.14.2,96
14,/sise/home/machadob/repo_mining/apache_repos/bookkeeper/bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/componentstarter.java,False,2.0,0.0,1.0,0.0,0.0,20.0,0.0,1.0,2.0,232.0,28.0,146.0,64.0,378.0,92.0,2465.906419389551,31.9375,78754.88626925378,2.0,1.0,7.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,5.0,3.0,bookkeeper,release-4.14.2,96
15,/sise/home/machadob/repo_mining/apache_repos/bookkeeper/bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/lifecyclecomponent.java,False,0.0,0.0,0.0,2.0,0.0,19.0,-1.0,13.0,3.0,53.0,13.0,32.0,29.0,85.0,42.0,458.34698093619465,7.172413793103448,3287.454208094086,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8192.0,0.0,bookkeeper,release-4.14.2,96
16,/sise/home/machadob/repo_mining/apache_repos/bookkeeper/bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/lifecyclecomponentstack.java,False,3.0,0.0,4.0,0.0,0.0,30.0,0.0,0.0,2.0,412.0,30.0,252.0,80.0,664.0,110.0,4502.822849780374,47.25,212758.37965212268,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,bookkeeper,release-4.14.2,96
17,/sise/home/machadob/repo_mining/apache_repos/bookkeeper/bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/lifecycle.java,False,1.0,0.0,13.0,0.0,0.0,119.0,0.0,7.0,1.0,411.0,27.0,243.0,38.0,654.0,65.0,3938.628549720609,86.32894736842105,340017.656772591,0.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,bookkeeper,release-4.14.2,96
