,File,Bugged,NumberOfFields,NumberOfPublicFields,NumberOfPublicMethods_Designite,NumberOfChildren,DepthOfInheritance,LOCClass,LCOM,FANIN,FANOUT,TotalNumberOfOperators,NumberOfDistinctOperators,TotalNumberOfOperands,NumberOfDistinctOperands,Length,Vocabulary,Volume,Difficulty,Effort,CBO,WMC_CK,RFC,LOCMethod_CK,Returns,NumberOfVariables,NumberOfParameters_CK,NumberOfLoops,NumberOfComparisons,NumberOfTryCatch,NumberOfParenthesizedExps,NumberOfStringLiterals,NumberOfNumbers,NumberOfAssignments,NumberOfMathOperations,MaxNumberOfNestedBlocks,NumberOfAnonymousClasses,NumberOfInnerClasses,NumberOfLambdas,NumberOfUniqueWords,NumberOfModifiers,NumberOfLogStatements,Project,Version,index
0,/sise/home/machadob/repo_mining/apache_repos/geronimo-xbean/maven-xbean-plugin/src/main/java/org/apache/xbean/maven/xbeanmojo.java,False,12.0,0.0,3.0,0.0,0.0,164.0,0.5,0.0,2.0,927.0,40.0,497.0,148.0,1424.0,188.0,10757.734524788955,67.16216216216216,722512.7106513663,3.0,4.0,14.0,25.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,26.0,1.0,3.0,geronimo-xbean,xbean-3.5,322
1,/sise/home/machadob/repo_mining/apache_repos/geronimo-xbean/xbean-classloader/src/main/java/org/apache/xbean/classloader/abstractresourcehandle.java,False,0.0,0.0,6.0,2.0,1.0,34.0,-1.0,0.0,1.0,150.0,25.0,69.0,38.0,219.0,63.0,1309.0243032464818,22.69736842105263,29711.40688289712,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,geronimo-xbean,xbean-3.5,322
2,/sise/home/machadob/repo_mining/apache_repos/geronimo-xbean/xbean-classloader/src/main/java/org/apache/xbean/classloader/abstracturlresourcelocation.java,False,1.0,0.0,6.0,2.0,1.0,26.0,0.3333333333333333,1.0,1.0,119.0,30.0,46.0,23.0,165.0,53.0,945.106875002928,30.0,28353.20625008784,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,geronimo-xbean,xbean-3.5,322
3,/sise/home/machadob/repo_mining/apache_repos/geronimo-xbean/xbean-classloader/src/main/java/org/apache/xbean/classloader/classloaderutil.java,False,0.0,0.0,3.0,0.0,0.0,55.0,-1.0,2.0,1.0,193.0,26.0,101.0,49.0,294.0,75.0,1831.2726950057888,26.79591836734694,49070.63364372655,0.0,2.0,3.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,42.0,9.0,0.0,geronimo-xbean,xbean-3.5,322
5,/sise/home/machadob/repo_mining/apache_repos/geronimo-xbean/xbean-classloader/src/main/java/org/apache/xbean/classloader/directoryresourcehandle.java,True,5.0,0.0,10.0,0.0,2.0,59.0,0.2,0.0,1.0,227.0,29.0,115.0,45.0,342.0,74.0,2123.633051045101,37.05555555555556,78692.4025026157,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,geronimo-xbean,xbean-3.5,322
6,/sise/home/machadob/repo_mining/apache_repos/geronimo-xbean/xbean-classloader/src/main/java/org/apache/xbean/classloader/directoryresourcelocation.java,True,3.0,0.0,3.0,0.0,2.0,51.0,0.0,0.0,2.0,186.0,32.0,98.0,42.0,284.0,74.0,1763.484755838622,37.333333333333336,65836.76421797523,1.0,3.0,2.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,0.0,geronimo-xbean,xbean-3.5,322
7,/sise/home/machadob/repo_mining/apache_repos/geronimo-xbean/xbean-classloader/src/main/java/org/apache/xbean/classloader/ioutil.java,False,0.0,0.0,9.0,0.0,0.0,26.0,-1.0,0.0,0.0,384.0,36.0,143.0,45.0,527.0,81.0,3341.1009515201977,57.2,191110.9744269553,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,geronimo-xbean,xbean-3.5,322
8,/sise/home/machadob/repo_mining/apache_repos/geronimo-xbean/xbean-classloader/src/main/java/org/apache/xbean/classloader/jarfileclassloader.java,False,3.0,0.0,17.0,0.0,3.0,257.0,0.0869565217391304,0.0,2.0,1037.0,46.0,598.0,150.0,1635.0,196.0,12450.050595128365,91.69333333333331,1141586.63923597,0.0,2.0,2.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,geronimo-xbean,xbean-3.5,322
9,/sise/home/machadob/repo_mining/apache_repos/geronimo-xbean/xbean-classloader/src/main/java/org/apache/xbean/classloader/jarfileurlconnection.java,True,5.0,1.0,16.0,0.0,0.0,82.0,0.1764705882352941,0.0,0.0,399.0,39.0,190.0,66.0,589.0,105.0,3954.690609905346,56.13636363636363,222001.9501469592,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,geronimo-xbean,xbean-3.5,322
10,/sise/home/machadob/repo_mining/apache_repos/geronimo-xbean/xbean-classloader/src/main/java/org/apache/xbean/classloader/jarfileurlstreamhandler.java,True,3.0,0.0,5.0,0.0,0.0,55.0,0.0,2.0,1.0,365.0,33.0,203.0,66.0,568.0,99.0,3765.474560205218,50.75,191097.8339304148,0.0,3.0,4.0,10.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,geronimo-xbean,xbean-3.5,322
