,Project,Version,Bugged,NumberOfFields,NumberOfPublicFields,NumberOfPublicMethods_Designite,NumberOfChildren,DepthOfInheritance,LOCClass,LCOM,FANIN,FANOUT,TotalNumberOfOperators,NumberOfDistinctOperators,TotalNumberOfOperands,NumberOfDistinctOperands,Length,Vocabulary,Volume,Difficulty,Effort,CBO,WMC_CK,RFC,LOCMethod_CK,Returns,NumberOfVariables,NumberOfParameters_CK,NumberOfLoops,NumberOfComparisons,NumberOfTryCatch,NumberOfParenthesizedExps,NumberOfStringLiterals,NumberOfNumbers,NumberOfAssignments,NumberOfMathOperations,MaxNumberOfNestedBlocks,NumberOfAnonymousClasses,NumberOfInnerClasses,NumberOfLambdas,NumberOfUniqueWords,NumberOfModifiers,NumberOfLogStatements,index
316535,asterixdb,asterix-0.0.5,False,2.0,0.0,6.0,0.0,0.0,154.0,0.2,2.0,3.0,940.0,44.0,542.0,149.0,1482.0,193.0,11252.02,80.03,900463.77,1.05,2.37,4.16,9.95,0.84,2.11,0.84,0.58,0.79,0.0,0.26,1.74,1.53,2.63,0.21,0.95,0.0,0.0,0.0,10.95,6.42,0.05,26
316536,asterixdb,asterix-0.0.5,False,2.0,0.0,1.0,0.0,0.0,61.0,0.0,0.0,1.0,313.0,41.0,195.0,85.0,508.0,126.0,3544.46,47.03,166693.78,2.0,5.0,9.0,21.0,0.5,5.0,0.5,1.0,2.0,0.5,0.5,4.5,5.0,7.0,1.0,2.0,0.0,0.0,0.0,21.5,1.5,1.0,26
316537,asterixdb,asterix-0.0.5,False,4.0,0.0,12.0,0.0,0.0,201.0,0.0,19.0,1.0,1161.0,43.0,600.0,112.0,1761.0,155.0,12813.26,115.18,1475812.42,2.39,3.89,6.56,12.39,0.56,0.89,0.61,0.94,1.0,0.0,0.22,1.06,0.83,1.39,0.56,1.78,0.0,0.0,0.0,11.72,1.22,0.0,26
316538,asterixdb,asterix-0.0.5,False,1.0,0.0,1.0,0.0,0.0,20.0,0.0,1.0,0.0,184.0,26.0,91.0,50.0,275.0,76.0,1718.18,23.66,40652.14,2.0,2.0,3.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,9.0,0.0,26
316539,asterixdb,asterix-0.0.5,False,3.0,0.0,5.0,1.0,0.0,41.0,0.0,3.0,3.0,289.0,30.0,161.0,67.0,450.0,97.0,2969.96,36.04,107051.57,1.6,1.6,3.0,6.2,0.6,1.4,0.6,0.2,0.2,0.0,0.0,2.6,0.8,1.8,0.8,0.4,0.0,0.0,0.0,6.8,1.2,0.0,26
316540,asterixdb,asterix-0.0.5,False,0.0,0.0,1.0,0.0,1.0,5.0,-1.0,0.0,0.0,25.0,11.0,25.0,19.0,50.0,30.0,245.34,7.24,1775.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
316541,asterixdb,asterix-0.0.5,False,21.0,0.0,13.0,0.0,0.0,68.0,0.46,1.0,3.0,302.0,17.0,160.0,59.0,462.0,76.0,2886.54,23.05,66537.25,0.38,1.0,0.0,5.13,1.0,0.0,0.63,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.13,0.0,0.0,5.38,2.0,0.0,26
316542,asterixdb,asterix-0.0.5,False,0.0,0.0,2.0,0.0,0.0,19.0,-1.0,0.0,1.0,246.0,21.0,115.0,46.0,361.0,67.0,2189.86,26.25,57483.78,2.0,1.0,6.0,8.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,16.0,1.0,0.0,26
316543,asterixdb,asterix-0.0.5,False,0.0,0.0,5.0,0.0,0.0,52.0,-1.0,0.0,1.0,304.0,16.0,189.0,43.0,493.0,59.0,2900.14,35.16,101977.12,3.4,1.0,5.4,10.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,2.4,0.0,2.2,0.0,0.0,0.0,0.0,0.0,15.2,1.0,0.0,26
316544,asterixdb,asterix-0.0.5,False,0.0,0.0,3.0,0.0,0.0,23.0,-1.0,0.0,1.0,192.0,17.0,104.0,37.0,296.0,54.0,1703.45,23.89,40698.56,2.0,1.0,4.67,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.33,0.0,0.0,0.0,0.0,11.33,1.0,0.0,26
