,Project,Version,Bugged,NumberOfFields,NumberOfPublicFields,NumberOfPublicMethods_Designite,NumberOfChildren,DepthOfInheritance,LOCClass,LCOM,FANIN,FANOUT,TotalNumberOfOperators,NumberOfDistinctOperators,TotalNumberOfOperands,NumberOfDistinctOperands,Length,Vocabulary,Volume,Difficulty,Effort,CBO,WMC_CK,RFC,LOCMethod_CK,Returns,NumberOfVariables,NumberOfParameters_CK,NumberOfLoops,NumberOfComparisons,NumberOfTryCatch,NumberOfParenthesizedExps,NumberOfStringLiterals,NumberOfNumbers,NumberOfAssignments,NumberOfMathOperations,MaxNumberOfNestedBlocks,NumberOfAnonymousClasses,NumberOfInnerClasses,NumberOfLambdas,NumberOfUniqueWords,NumberOfModifiers,NumberOfLogStatements,index
853332,commons-csv,rel/commons-csv-1.2,False,0.0,0.0,1.0,0.0,0.0,13.0,-1.0,3.0,0.0,41.0,21.0,23.0,17.0,64.0,38.0,335.87,14.21,4771.29,0.0,2.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,9.0,0.0,111
853333,commons-csv,rel/commons-csv-1.2,False,19.0,0.0,0.0,0.0,0.0,52.0,-1.0,3.0,0.0,126.0,16.0,68.0,42.0,194.0,58.0,1136.45,12.95,14719.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111
853334,commons-csv,rel/commons-csv-1.2,False,4.0,0.0,1.0,0.0,0.0,50.0,0.0,6.0,1.0,72.0,22.0,49.0,28.0,121.0,50.0,682.91,19.25,13145.95,0.0,1.0,1.5,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,10.0,0.5,0.0,111
853335,commons-csv,rel/commons-csv-1.2,True,20.0,5.0,49.0,0.0,0.0,700.0,0.13,15.0,1.0,2065.0,43.0,1273.0,185.0,3338.0,228.0,26146.19,147.94,3868151.68,0.77,2.17,1.04,5.68,1.23,0.23,0.64,0.06,0.75,0.01,0.19,0.42,0.27,0.48,0.4,0.27,0.0,0.0,0.0,28.18,1.71,0.0,111
853336,commons-csv,rel/commons-csv-1.2,True,8.0,0.0,15.0,0.0,0.0,286.0,0.11,6.0,6.0,962.0,44.0,553.0,150.0,1515.0,194.0,11513.87,81.11,933851.45,2.13,2.3,1.96,9.83,0.91,0.65,1.13,0.13,0.65,0.04,0.13,1.22,0.17,1.04,0.17,0.57,0.04,0.0,0.0,34.7,4.17,0.0,111
853337,commons-csv,rel/commons-csv-1.2,True,3.0,0.0,12.0,0.0,0.0,312.0,0.0,3.0,3.0,1044.0,41.0,603.0,118.0,1647.0,159.0,12044.32,104.76,1261744.4,1.29,4.58,3.71,14.38,0.21,1.17,1.38,0.88,0.88,0.0,0.25,0.13,0.5,2.08,0.42,1.75,0.0,0.0,0.0,37.54,1.17,0.0,111
853338,commons-csv,rel/commons-csv-1.2,True,7.0,0.0,13.0,0.0,0.0,172.0,0.12,5.0,0.0,440.0,36.0,294.0,96.0,734.0,132.0,5170.59,55.13,285028.51,0.32,1.73,1.64,5.05,1.05,0.18,0.55,0.05,0.45,0.14,0.0,0.64,0.0,0.18,0.05,0.23,0.0,0.0,0.0,19.73,0.95,0.0,111
853339,commons-csv,rel/commons-csv-1.2,False,4.0,0.0,5.0,0.0,0.0,121.0,0.3,3.0,0.0,315.0,33.0,198.0,53.0,513.0,86.0,3296.67,61.64,203211.95,0.18,3.27,0.82,9.55,1.18,0.91,0.55,0.18,1.91,0.0,0.36,0.0,1.45,2.0,0.82,1.09,0.0,0.0,0.0,23.73,0.64,0.0,111
853340,commons-csv,rel/commons-csv-1.2,False,8.0,0.0,1.0,0.0,0.0,302.0,0.0,3.0,4.0,1021.0,38.0,588.0,122.0,1609.0,160.0,11780.98,91.57,1078828.97,0.89,4.58,2.63,11.68,1.58,0.58,0.79,0.37,1.16,0.0,0.05,0.26,0.16,2.0,0.21,0.79,0.0,0.0,0.0,24.0,0.47,0.0,111
853341,commons-csv,rel/commons-csv-1.2,False,0.0,0.0,2.0,0.0,0.0,11.0,-1.0,0.0,1.0,45.0,13.0,28.0,21.0,73.0,34.0,371.38,8.67,3218.67,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,111
