,Project,Version,Bugged,NumberOfFields,NumberOfPublicFields,NumberOfPublicMethods_Designite,NumberOfChildren,DepthOfInheritance,LOCClass,LCOM,FANIN,FANOUT,TotalNumberOfOperators,NumberOfDistinctOperators,TotalNumberOfOperands,NumberOfDistinctOperands,Length,Vocabulary,Volume,Difficulty,Effort,CBO,WMC_CK,RFC,LOCMethod_CK,Returns,NumberOfVariables,NumberOfParameters_CK,NumberOfLoops,NumberOfComparisons,NumberOfTryCatch,NumberOfParenthesizedExps,NumberOfStringLiterals,NumberOfNumbers,NumberOfAssignments,NumberOfMathOperations,MaxNumberOfNestedBlocks,NumberOfAnonymousClasses,NumberOfInnerClasses,NumberOfLambdas,NumberOfUniqueWords,NumberOfModifiers,NumberOfLogStatements,index
129349,deltaspike,deltaspike-project-0.4,False,0.0,0.0,0.0,1.0,0.0,5.0,-1.0,0.0,0.0,12.0,5.0,15.0,14.0,27.0,19.0,114.69,2.68,307.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182
129350,deltaspike,deltaspike-project-0.4,False,0.0,0.0,0.0,0.0,1.0,10.0,-1.0,1.0,0.0,12.0,7.0,13.0,13.0,25.0,20.0,108.05,3.5,378.17,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,182
129351,deltaspike,deltaspike-project-0.4,False,2.0,0.0,8.0,0.0,0.0,137.0,0.31,16.0,5.0,641.0,29.0,423.0,104.0,1064.0,133.0,7506.82,58.98,442721.96,1.54,2.23,3.46,8.62,1.0,1.15,0.85,0.46,0.46,0.0,0.08,0.54,0.15,1.38,0.0,1.08,0.15,0.0,0.0,20.46,13.08,0.54,182
129352,deltaspike,deltaspike-project-0.4,False,0.0,0.0,0.0,0.0,1.0,5.0,-1.0,4.0,0.0,11.0,6.0,12.0,12.0,23.0,18.0,95.91,3.0,287.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182
129353,deltaspike,deltaspike-project-0.4,False,0.0,0.0,0.0,2.0,0.0,5.0,-1.0,0.0,0.0,10.0,5.0,10.0,10.0,20.0,15.0,78.14,2.5,195.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182
129354,deltaspike,deltaspike-project-0.4,False,0.0,0.0,0.0,0.0,1.0,2.0,-1.0,0.0,0.0,179.0,19.0,167.0,64.0,346.0,83.0,2205.76,24.79,54678.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182
129355,deltaspike,deltaspike-project-0.4,False,0.0,0.0,1.0,0.0,0.0,5.0,-1.0,0.0,0.0,179.0,19.0,167.0,64.0,346.0,83.0,2205.76,24.79,54678.81,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,182
129356,deltaspike,deltaspike-project-0.4,False,0.0,0.0,1.0,0.0,0.0,10.0,-1.0,0.0,0.0,179.0,19.0,167.0,64.0,346.0,83.0,2205.76,24.79,54678.81,4.0,2.0,2.0,8.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,182
129357,deltaspike,deltaspike-project-0.4,False,0.0,0.0,1.0,0.0,0.0,9.0,-1.0,0.0,1.0,187.0,18.0,149.0,56.0,336.0,74.0,2086.38,23.95,49961.26,7.0,1.0,2.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,182
129358,deltaspike,deltaspike-project-0.4,False,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0.0,0.0,187.0,18.0,149.0,56.0,336.0,74.0,2086.38,23.95,49961.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182
129359,deltaspike,deltaspike-project-0.4,False,3.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,69.0,17.0,57.0,27.0,126.0,44.0,687.89,17.94,12343.77,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,182
129360,deltaspike,deltaspike-project-0.4,False,4.0,0.0,4.0,1.0,0.0,75.0,0.2,2.0,2.0,402.0,36.0,271.0,94.0,673.0,130.0,4726.05,51.89,245252.01,0.5,2.17,3.0,6.17,0.67,0.17,1.17,0.5,0.17,0.0,0.0,0.33,0.0,0.33,0.17,0.67,0.0,0.0,0.0,10.67,2.17,0.0,182
129361,deltaspike,deltaspike-project-0.4,False,2.0,0.0,2.0,0.0,0.0,37.0,0.0,1.0,0.0,402.0,36.0,271.0,94.0,673.0,130.0,4726.05,51.89,245252.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182
129362,deltaspike,deltaspike-project-0.4,False,0.0,0.0,0.0,1.0,0.0,50.0,-1.0,10.0,0.0,78.0,10.0,94.0,35.0,172.0,45.0,944.6,13.43,12684.61,0.71,0.93,0.0,0.93,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.07,0.0,0.0,182
129363,deltaspike,deltaspike-project-0.4,False,0.0,0.0,0.0,1.0,1.0,30.0,-1.0,0.0,1.0,134.0,23.0,103.0,51.0,237.0,74.0,1471.64,23.23,34179.57,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,182
129364,deltaspike,deltaspike-project-0.4,False,0.0,0.0,1.0,0.0,2.0,15.0,-1.0,1.0,0.0,61.0,15.0,51.0,28.0,112.0,43.0,607.74,13.66,8302.19,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,182
129365,deltaspike,deltaspike-project-0.4,False,0.0,0.0,0.0,0.0,1.0,10.0,-1.0,21.0,0.0,24.0,9.0,25.0,17.0,49.0,26.0,230.32,6.62,1524.19,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,182
129366,deltaspike,deltaspike-project-0.4,False,0.0,0.0,0.0,0.0,0.0,39.0,-1.0,26.0,0.0,54.0,10.0,54.0,31.0,108.0,41.0,578.62,8.71,5039.56,0.91,0.91,0.0,0.91,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.45,0.0,0.0,182
129367,deltaspike,deltaspike-project-0.4,False,0.0,0.0,0.0,0.0,0.0,7.0,-1.0,3.0,0.0,28.0,11.0,30.0,24.0,58.0,35.0,297.5,6.88,2045.3,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,182
129368,deltaspike,deltaspike-project-0.4,False,0.0,0.0,0.0,0.0,0.0,10.0,-1.0,3.0,0.0,25.0,10.0,26.0,18.0,51.0,28.0,245.18,7.22,1770.71,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,182
129369,deltaspike,deltaspike-project-0.4,False,2.0,0.0,4.0,0.0,0.0,37.0,0.0,2.0,0.0,77.0,16.0,66.0,22.0,143.0,38.0,750.45,24.0,18010.89,0.0,1.0,0.0,3.33,0.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,182
129370,deltaspike,deltaspike-project-0.4,False,1.0,0.0,1.0,0.0,1.0,47.0,0.0,0.0,0.0,239.0,32.0,118.0,51.0,357.0,83.0,2275.89,37.02,84252.52,1.0,7.0,5.5,20.5,1.5,2.5,1.0,0.5,0.5,0.0,0.0,4.0,2.5,5.5,0.5,1.0,0.0,0.0,0.0,14.5,522.5,0.0,182
129371,deltaspike,deltaspike-project-0.4,False,0.0,0.0,0.0,1.0,0.0,11.0,-1.0,2.0,0.0,15.0,10.0,15.0,13.0,30.0,23.0,135.71,5.77,782.92,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,182
129372,deltaspike,deltaspike-project-0.4,False,1.0,0.0,0.0,0.0,0.0,6.0,-1.0,0.0,0.0,26.0,13.0,26.0,20.0,52.0,33.0,262.31,8.45,2216.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182
129373,deltaspike,deltaspike-project-0.4,False,1.0,0.0,0.0,0.0,0.0,6.0,-1.0,0.0,0.0,26.0,13.0,26.0,20.0,52.0,33.0,262.31,8.45,2216.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182
129374,deltaspike,deltaspike-project-0.4,False,1.0,0.0,0.0,0.0,0.0,6.0,-1.0,0.0,0.0,25.0,12.0,26.0,20.0,51.0,32.0,255.0,7.8,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182
129375,deltaspike,deltaspike-project-0.4,False,1.0,0.0,0.0,0.0,0.0,6.0,-1.0,0.0,0.0,26.0,13.0,26.0,20.0,52.0,33.0,262.31,8.45,2216.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182
129376,deltaspike,deltaspike-project-0.4,False,1.0,0.0,0.0,0.0,0.0,6.0,-1.0,0.0,0.0,25.0,12.0,26.0,20.0,51.0,32.0,255.0,7.8,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182
