,Project,Version,Bugged,NumberOfFields,NumberOfPublicFields,NumberOfPublicMethods_Designite,NumberOfChildren,DepthOfInheritance,LOCClass,LCOM,FANIN,FANOUT,TotalNumberOfOperators,NumberOfDistinctOperators,TotalNumberOfOperands,NumberOfDistinctOperands,Length,Vocabulary,Volume,Difficulty,Effort,CBO,WMC_CK,RFC,LOCMethod_CK,Returns,NumberOfVariables,NumberOfParameters_CK,NumberOfLoops,NumberOfComparisons,NumberOfTryCatch,NumberOfParenthesizedExps,NumberOfStringLiterals,NumberOfNumbers,NumberOfAssignments,NumberOfMathOperations,MaxNumberOfNestedBlocks,NumberOfAnonymousClasses,NumberOfInnerClasses,NumberOfLambdas,NumberOfUniqueWords,NumberOfModifiers,NumberOfLogStatements,index
735018,archiva,archiva-1.2-M1,False,1.0,0.0,3.0,2.0,0.0,20.0,0.0,0.0,0.0,96.0,20.0,83.0,44.0,179.0,64.0,1074.0,18.86,20259.55,0.67,1.33,1.0,4.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,1.0,1.0,0.33,1.0,0.33,0.0,0.0,0.0,8.33,1.0,0.0,20
735019,archiva,archiva-1.2-M1,False,12.0,3.0,2.0,0.0,0.0,131.0,0.0,1.0,6.0,934.0,34.0,659.0,210.0,1593.0,244.0,12633.66,53.35,673975.93,2.22,2.22,6.22,10.67,0.56,2.11,0.67,0.22,0.22,0.11,0.0,2.67,0.11,2.33,0.56,0.78,0.0,0.0,0.0,17.0,2.78,0.0,20
735020,archiva,archiva-1.2-M1,False,8.0,0.0,0.0,0.0,0.0,10.0,-1.0,1.0,0.0,934.0,34.0,659.0,210.0,1593.0,244.0,12633.66,53.35,673975.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
735021,archiva,archiva-1.2-M1,False,3.0,0.0,6.0,0.0,1.0,47.0,0.83,0.0,0.0,133.0,15.0,67.0,35.0,200.0,50.0,1128.77,14.36,16205.93,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,1.0,0.0,20
735022,archiva,archiva-1.2-M1,True,5.0,0.0,8.0,0.0,1.0,57.0,0.63,0.0,1.0,95.0,12.0,97.0,38.0,192.0,50.0,1083.62,15.32,16596.5,0.57,1.29,1.0,5.0,0.57,0.29,0.43,0.0,0.14,0.14,0.0,0.43,0.0,0.71,0.29,0.29,0.0,0.0,0.0,6.57,1.0,0.0,20
735023,archiva,archiva-1.2-M1,False,3.0,0.0,7.0,0.0,0.0,47.0,0.0,2.0,1.0,214.0,29.0,148.0,55.0,362.0,84.0,2314.02,39.02,90288.81,1.67,1.5,1.25,5.5,0.67,0.75,1.5,0.5,0.0,0.0,0.0,0.0,1.25,1.0,0.0,0.5,0.0,0.0,0.0,6.75,3.0,0.0,20
735024,archiva,archiva-1.2-M1,False,2.0,0.0,8.0,0.0,0.0,199.0,0.22,4.0,1.0,790.0,38.0,463.0,113.0,1253.0,151.0,9069.72,77.85,706073.78,1.63,3.38,6.25,16.63,1.63,3.13,1.38,0.5,0.25,0.63,0.25,2.38,0.5,4.13,1.25,1.5,0.0,0.0,0.0,25.0,1.13,0.5,20
735025,archiva,archiva-1.2-M1,False,1.0,0.0,2.0,0.0,0.0,19.0,0.0,2.0,1.0,94.0,25.0,52.0,24.0,146.0,49.0,819.75,27.08,22201.5,1.0,1.5,1.0,6.0,1.0,2.0,1.0,0.5,0.0,0.0,0.5,0.0,3.0,3.0,1.0,0.5,0.0,0.0,0.0,5.0,9.0,0.0,20
735026,archiva,archiva-1.2-M1,False,1.0,0.0,3.0,2.0,0.0,37.0,0.0,0.0,0.0,159.0,23.0,90.0,46.0,249.0,69.0,1521.02,22.5,34223.01,0.67,2.67,3.67,9.67,1.0,1.33,0.33,0.0,1.67,0.0,0.0,2.0,0.0,2.0,1.0,1.67,0.0,0.0,0.0,11.0,1.0,0.0,20
735027,archiva,archiva-1.2-M1,False,0.0,0.0,3.0,0.0,0.0,23.0,-1.0,0.0,0.0,121.0,15.0,66.0,33.0,187.0,48.0,1044.39,15.0,15665.82,1.0,1.33,2.33,5.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0,2.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,10.0,1.0,0.0,20
