,Project,Version,Bugged,NumberOfFields,NumberOfPublicFields,NumberOfPublicMethods_Designite,NumberOfChildren,DepthOfInheritance,LOCClass,LCOM,FANIN,FANOUT,TotalNumberOfOperators,NumberOfDistinctOperators,TotalNumberOfOperands,NumberOfDistinctOperands,Length,Vocabulary,Volume,Difficulty,Effort,CBO,WMC_CK,RFC,LOCMethod_CK,Returns,NumberOfVariables,NumberOfParameters_CK,NumberOfLoops,NumberOfComparisons,NumberOfTryCatch,NumberOfParenthesizedExps,NumberOfStringLiterals,NumberOfNumbers,NumberOfAssignments,NumberOfMathOperations,MaxNumberOfNestedBlocks,NumberOfAnonymousClasses,NumberOfInnerClasses,NumberOfLambdas,NumberOfUniqueWords,NumberOfModifiers,NumberOfLogStatements,index
794999,activemq-artemis,2.6.3,False,1.0,0.0,4.0,0.0,0.0,95.0,0.67,3.0,1.0,570.0,30.0,350.0,110.0,920.0,140.0,6558.94,47.73,313040.34,0.63,5.13,8.75,18.38,0.75,3.0,2.25,0.75,1.88,0.38,0.0,3.5,0.0,3.25,0.0,1.25,0.25,0.0,0.0,17.88,8.0,0.13,14
795000,activemq-artemis,2.6.3,False,0.0,0.0,1.0,0.0,0.0,5.0,-1.0,0.0,0.0,17.0,8.0,14.0,12.0,31.0,20.0,133.98,4.67,625.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
795001,activemq-artemis,2.6.3,False,0.0,0.0,1.0,0.0,0.0,5.0,-1.0,0.0,0.0,17.0,8.0,14.0,12.0,31.0,20.0,133.98,4.67,625.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
795002,activemq-artemis,2.6.3,False,0.0,0.0,8.0,0.0,0.0,107.0,-1.0,6.0,37.0,1072.0,39.0,823.0,182.0,1895.0,221.0,14758.08,88.18,1301346.0,3.28,2.04,4.68,8.6,1.28,0.56,2.64,0.16,0.2,0.16,0.0,1.52,0.12,0.72,0.36,0.48,0.0,0.0,0.0,13.16,9.2,0.0,14
795003,activemq-artemis,2.6.3,False,3.0,3.0,3.0,0.0,0.0,16.0,0.0,42.0,0.0,71.0,14.0,51.0,18.0,122.0,32.0,610.0,19.83,12098.33,0.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,14
795004,activemq-artemis,2.6.3,False,0.0,0.0,1.0,0.0,3.0,10.0,-1.0,1.0,2.0,70.0,15.0,65.0,47.0,135.0,62.0,803.82,10.37,8337.46,4.0,1.0,5.0,8.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,14
795005,activemq-artemis,2.6.3,False,0.0,0.0,1.0,0.0,3.0,10.0,-1.0,1.0,2.0,68.0,13.0,61.0,44.0,129.0,57.0,752.44,9.01,6780.54,4.0,1.0,5.0,8.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,14
795006,activemq-artemis,2.6.3,False,0.0,0.0,0.0,3.0,0.0,8.0,-1.0,1.0,1.0,35.0,11.0,35.0,30.0,70.0,41.0,375.03,6.42,2406.43,0.17,1.0,0.0,1.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0,14
795007,activemq-artemis,2.6.3,False,0.0,0.0,6.0,0.0,1.0,20.0,-1.0,1.0,2.0,74.0,15.0,58.0,42.0,132.0,57.0,769.94,10.36,7974.39,0.33,1.0,0.5,3.0,0.67,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83,1.0,0.0,14
795008,activemq-artemis,2.6.3,False,0.0,0.0,1.0,0.0,0.0,5.0,-1.0,0.0,0.0,18.0,8.0,15.0,13.0,33.0,21.0,144.95,4.62,668.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
795009,activemq-artemis,2.6.3,False,4.0,0.0,10.0,0.0,1.0,51.0,0.6,2.0,4.0,260.0,31.0,196.0,90.0,456.0,121.0,3155.0,33.76,106498.83,0.5,1.3,0.7,4.5,0.5,0.2,0.7,0.0,0.1,0.0,0.0,0.2,0.0,0.6,0.1,0.2,0.0,0.0,0.0,5.3,1.0,0.0,14
