,Project,Version,Bugged,NumberOfFields,NumberOfPublicFields,NumberOfPublicMethods_Designite,NumberOfChildren,DepthOfInheritance,LOCClass,LCOM,FANIN,FANOUT,TotalNumberOfOperators,NumberOfDistinctOperators,TotalNumberOfOperands,NumberOfDistinctOperands,Length,Vocabulary,Volume,Difficulty,Effort,CBO,WMC_CK,RFC,LOCMethod_CK,Returns,NumberOfVariables,NumberOfParameters_CK,NumberOfLoops,NumberOfComparisons,NumberOfTryCatch,NumberOfParenthesizedExps,NumberOfStringLiterals,NumberOfNumbers,NumberOfAssignments,NumberOfMathOperations,MaxNumberOfNestedBlocks,NumberOfAnonymousClasses,NumberOfInnerClasses,NumberOfLambdas,NumberOfUniqueWords,NumberOfModifiers,NumberOfLogStatements,index
252905,cassandra,cassandra-0.6.1,False,0.0,0.0,1.0,0.0,1.0,4.0,-1.0,0.0,1.0,31.0,10.0,35.0,19.0,66.0,29.0,320.63,9.21,2953.14,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,65
252906,cassandra,cassandra-0.6.1,False,0.0,0.0,1.0,2.0,0.0,3.0,-1.0,1.0,1.0,29.0,9.0,33.0,17.0,62.0,26.0,291.43,8.74,2545.7,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,65
252907,cassandra,cassandra-0.6.1,False,5.0,5.0,1.0,0.0,1.0,85.0,0.0,2.0,2.0,548.0,34.0,382.0,124.0,930.0,158.0,6792.52,52.37,355730.64,2.0,7.67,6.33,25.67,0.67,4.33,2.0,0.67,1.67,1.0,0.0,8.33,0.0,6.33,3.0,1.0,0.0,0.0,0.0,37.67,5.67,0.0,65
252908,cassandra,cassandra-0.6.1,False,1.0,0.0,14.0,0.0,0.0,136.0,0.14,0.0,0.0,269.0,19.0,226.0,51.0,495.0,70.0,3034.0,42.1,127725.24,0.61,1.0,0.96,2.96,0.91,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.91,1.0,0.0,65
252909,cassandra,cassandra-0.6.1,False,1.0,0.0,4.0,0.0,0.0,18.0,0.0,0.0,0.0,64.0,16.0,46.0,18.0,110.0,34.0,559.62,20.44,11441.14,0.0,1.0,0.67,3.0,0.33,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,65
252910,cassandra,cassandra-0.6.1,False,1.0,0.0,4.0,1.0,0.0,46.0,1.0,1.0,0.0,222.0,30.0,123.0,67.0,345.0,97.0,2276.97,27.54,62701.63,1.0,3.0,1.5,10.0,0.0,0.0,1.5,0.0,0.5,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,1.0,65
252911,cassandra,cassandra-0.6.1,False,0.0,0.0,3.0,1.0,0.0,14.0,-1.0,2.0,0.0,22.0,9.0,10.0,10.0,32.0,19.0,135.93,4.5,611.7,0.0,0.67,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.67,0.0,65
252912,cassandra,cassandra-0.6.1,False,1.0,0.0,6.0,0.0,2.0,53.0,0.57,0.0,1.0,217.0,28.0,123.0,59.0,340.0,87.0,2190.6,29.19,63935.84,0.6,1.6,2.4,6.0,0.6,0.2,1.2,0.0,0.0,0.2,0.0,0.2,0.0,0.4,0.4,0.6,0.0,0.0,0.0,11.4,13.8,0.0,65
252913,cassandra,cassandra-0.6.1,False,0.0,0.0,0.0,1.0,1.0,2.0,-1.0,0.0,0.0,7.0,5.0,9.0,9.0,16.0,14.0,60.92,2.5,152.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65
252914,cassandra,cassandra-0.6.1,False,2.0,0.0,2.0,0.0,0.0,14.0,0.0,1.0,0.0,56.0,17.0,43.0,25.0,99.0,42.0,533.84,14.62,7804.73,0.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,65
