,Project,Version,Bugged,NumberOfFields,NumberOfPublicFields,NumberOfPublicMethods_Designite,NumberOfChildren,DepthOfInheritance,LOCClass,LCOM,FANIN,FANOUT,TotalNumberOfOperators,NumberOfDistinctOperators,TotalNumberOfOperands,NumberOfDistinctOperands,Length,Vocabulary,Volume,Difficulty,Effort,CBO,WMC_CK,RFC,LOCMethod_CK,Returns,NumberOfVariables,NumberOfParameters_CK,NumberOfLoops,NumberOfComparisons,NumberOfTryCatch,NumberOfParenthesizedExps,NumberOfStringLiterals,NumberOfNumbers,NumberOfAssignments,NumberOfMathOperations,MaxNumberOfNestedBlocks,NumberOfAnonymousClasses,NumberOfInnerClasses,NumberOfLambdas,NumberOfUniqueWords,NumberOfModifiers,NumberOfLogStatements,index
300630,bookkeeper,release-4.2.2,False,4.0,0.0,6.0,0.0,0.0,139.0,0.0,2.0,9.0,870.0,40.0,586.0,170.0,1456.0,210.0,11231.94,68.94,774343.26,3.0,2.67,5.67,19.33,0.17,4.67,1.33,0.83,0.5,0.17,1.0,4.33,3.17,6.83,1.5,1.0,0.0,0.0,0.0,17.67,25.17,1.0,47
300631,bookkeeper,release-4.2.2,False,1.0,0.0,3.0,0.0,0.0,18.0,0.0,1.0,0.0,870.0,40.0,586.0,170.0,1456.0,210.0,11231.94,68.94,774343.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
300632,bookkeeper,release-4.2.2,False,2.0,0.0,2.0,0.0,0.0,20.0,0.0,1.0,0.0,870.0,40.0,586.0,170.0,1456.0,210.0,11231.94,68.94,774343.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
300633,bookkeeper,release-4.2.2,True,3.0,0.0,5.0,0.0,0.0,214.0,0.29,2.0,5.0,1198.0,46.0,743.0,234.0,1941.0,280.0,15778.94,73.03,1152334.52,2.56,6.22,9.67,35.11,0.56,4.67,1.22,0.56,2.11,0.67,0.11,5.11,3.67,5.33,1.11,2.22,0.44,0.0,0.0,20.22,3.89,1.67,47
300634,bookkeeper,release-4.2.2,False,11.0,0.0,3.0,0.0,0.0,89.0,0.0,1.0,3.0,466.0,28.0,321.0,122.0,787.0,150.0,5689.08,36.84,209563.34,0.75,2.5,4.75,12.5,0.0,1.75,1.25,0.75,0.0,0.25,0.75,3.75,2.25,2.5,2.5,0.75,0.0,0.0,0.0,24.5,2.5,0.75,47
300635,bookkeeper,release-4.2.2,True,21.0,0.0,12.0,0.0,0.0,329.0,0.29,2.0,5.0,2057.0,45.0,1239.0,353.0,3296.0,398.0,28466.31,78.97,2248072.77,1.63,3.74,7.16,24.74,0.26,4.21,0.89,0.68,0.63,0.68,0.37,6.63,3.53,5.26,2.47,1.16,0.37,0.0,0.0,18.68,4.0,1.89,47
300636,bookkeeper,release-4.2.2,True,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2057.0,45.0,1239.0,353.0,3296.0,398.0,28466.31,78.97,2248072.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
300637,bookkeeper,release-4.2.2,False,16.0,0.0,6.0,0.0,0.0,273.0,0.22,0.0,4.0,1653.0,44.0,1085.0,266.0,2738.0,310.0,22660.03,89.74,2033439.41,3.29,5.0,8.86,29.86,0.57,7.14,1.86,1.43,0.43,0.57,0.71,10.57,3.29,8.86,2.71,1.43,0.14,0.0,0.0,30.43,1.86,2.29,47
300638,bookkeeper,release-4.2.2,False,4.0,0.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,1653.0,44.0,1085.0,266.0,2738.0,310.0,22660.03,89.74,2033439.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
300639,bookkeeper,release-4.2.2,False,4.0,0.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,1653.0,44.0,1085.0,266.0,2738.0,310.0,22660.03,89.74,2033439.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
