,Project,Version,Bugged,NumberOfFields,NumberOfPublicFields,NumberOfPublicMethods_Designite,NumberOfChildren,DepthOfInheritance,LOCClass,LCOM,FANIN,FANOUT,TotalNumberOfOperators,NumberOfDistinctOperators,TotalNumberOfOperands,NumberOfDistinctOperands,Length,Vocabulary,Volume,Difficulty,Effort,CBO,WMC_CK,RFC,LOCMethod_CK,Returns,NumberOfVariables,NumberOfParameters_CK,NumberOfLoops,NumberOfComparisons,NumberOfTryCatch,NumberOfParenthesizedExps,NumberOfStringLiterals,NumberOfNumbers,NumberOfAssignments,NumberOfMathOperations,MaxNumberOfNestedBlocks,NumberOfAnonymousClasses,NumberOfInnerClasses,NumberOfLambdas,NumberOfUniqueWords,NumberOfModifiers,NumberOfLogStatements,index
7027,camel,camel-2.0.0,False,0.0,0.0,5.0,0.0,0.0,29.0,-1.0,0.0,2.0,104.0,14.0,81.0,29.0,185.0,43.0,1003.86,19.55,19627.17,2.5,1.0,0.5,4.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.5,5.5,0.0,58
7028,camel,camel-2.0.0,False,2.0,0.0,6.0,0.0,0.0,37.0,0.0,2.0,1.0,144.0,26.0,66.0,31.0,210.0,57.0,1224.91,27.68,33902.26,0.2,1.8,0.8,5.0,1.6,0.2,0.2,0.0,0.8,0.0,0.0,0.6,0.2,0.2,0.6,0.2,0.0,0.0,0.0,4.6,1.0,0.0,58
7029,camel,camel-2.0.0,False,1.0,0.0,7.0,0.0,0.0,69.0,0.6,0.0,3.0,352.0,24.0,243.0,98.0,595.0,122.0,4123.79,29.76,122703.75,3.0,1.3,3.2,6.7,0.2,0.6,0.1,0.0,0.0,0.1,0.0,1.7,1.3,0.7,0.0,0.2,0.1,0.0,0.0,7.4,3.5,0.0,58
7030,camel,camel-2.0.0,False,1.0,1.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,56.0,16.0,53.0,29.0,109.0,45.0,598.61,14.62,8752.12,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,0.0,58
7031,camel,camel-2.0.0,False,0.0,0.0,2.0,0.0,0.0,24.0,-1.0,4.0,1.0,85.0,16.0,71.0,33.0,156.0,49.0,875.89,17.21,15076.01,1.5,1.0,1.5,3.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,18.0,5.5,0.0,58
7032,camel,camel-2.0.0,False,0.0,0.0,6.0,0.0,0.0,33.0,-1.0,4.0,5.0,156.0,14.0,135.0,45.0,291.0,59.0,1711.85,21.0,35948.83,2.67,1.0,1.0,3.67,0.67,0.33,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,6.67,2.0,0.0,58
7033,camel,camel-2.0.0,False,1.0,0.0,1.0,0.0,0.0,36.0,0.57,0.0,3.0,175.0,21.0,145.0,58.0,320.0,79.0,2017.21,26.25,52951.76,1.5,1.33,1.67,4.33,0.5,0.17,0.5,0.0,0.17,0.0,0.0,0.0,0.17,0.83,0.17,0.33,0.0,0.0,0.0,7.33,3.67,0.0,58
7034,camel,camel-2.0.0,False,0.0,0.0,1.0,0.0,0.0,13.0,-1.0,0.0,3.0,62.0,14.0,59.0,32.0,121.0,46.0,668.35,12.91,8625.91,3.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,58
7035,camel,camel-2.0.0,False,2.0,0.0,2.0,0.0,0.0,33.0,0.0,0.0,1.0,188.0,25.0,130.0,54.0,318.0,79.0,2004.6,30.09,60323.68,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,58
7036,camel,camel-2.0.0,False,1.0,1.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,20.0,12.0,13.0,11.0,33.0,23.0,149.28,7.09,1058.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58
7037,camel,camel-2.0.0,True,0.0,0.0,0.0,0.0,0.0,14.0,-1.0,0.0,1.0,95.0,19.0,74.0,36.0,169.0,55.0,977.05,19.53,19079.61,3.0,4.0,4.0,8.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,13.0,4.0,0.0,58
